sensor_id,data,microstamp,device_microstamp
55,3.135,1414371635898759,1414371635898759
55,3.135,1414371635931216,1414371635931216
55,3.135,1414371635959164,1414371635959164
54,95,1414371648240966,1414371648240966
54,151,1414371648241383,1414371648241383
54,180,1414371648241800,1414371648241800
54,151,1414371648242216,1414371648242216
54,67,1414371648242633,1414371648242633
54,-44,1414371648243050,1414371648243050
54,-161,1414371648243466,1414371648243466
54,-260,1414371648243883,1414371648243883
54,-377,1414371648244300,1414371648244300
54,-509,1414371648244717,1414371648244717
54,-649,1414371648245134,1414371648245134
54,-753,1414371648245550,1414371648245550
54,-815,1414371648245967,1414371648245967
54,-814,1414371648246384,1414371648246384
54,-748,1414371648246800,1414371648246800
54,-640,1414371648247217,1414371648247217
54,-506,1414371648247634,1414371648247634
54,-389,1414371648248051,1414371648248051
54,-276,1414371648248468,1414371648248468
54,-125,1414371648248884,1414371648248884
54,-116,1414371648249301,1414371648249301
54,-144,1414371648249718,1414371648249718
54,-130,1414371648250134,1414371648250134
54,-57,1414371648250551,1414371648250551
54,52,1414371648250968,1414371648250968
54,167,1414371648251385,1414371648251385
54,272,1414371648251802,1414371648251802
54,384,1414371648252218,1414371648252218
54,504,1414371648252635,1414371648252635
54,629,1414371648253052,1414371648253052
54,727,1414371648253468,1414371648253468
54,770,1414371648253885,1414371648253885
54,755,1414371648254302,1414371648254302
54,687,1414371648254719,1414371648254719
54,604,1414371648255136,1414371648255136
54,499,1414371648255552,1414371648255552
54,394,1414371648255969,1414371648255969
54,291,1414371648256386,1414371648256386
54,158,1414371648256802,1414371648256802
54,140,1414371648257219,1414371648257219
54,179,1414371648257636,1414371648257636
54,173,1414371648258053,1414371648258053
54,103,1414371648258470,1414371648258470
54,-1,1414371648258886,1414371648258886
54,-112,1414371648259303,1414371648259303
54,-231,1414371648259720,1414371648259720
54,-332,1414371648260136,1414371648260136
54,-465,1414371648260553,1414371648260553
54,-601,1414371648260970,1414371648260970
54,-725,1414371648261387,1414371648261387
54,-804,1414371648261804,1414371648261804
54,-817,1414371648262220,1414371648262220
54,-773,1414371648262637,1414371648262637
54,-668,1414371648263054,1414371648263054
54,-541,1414371648263470,1414371648263470
54,-419,1414371648263887,1414371648263887
54,-304,1414371648264304,1414371648264304
54,-160,1414371648264721,1414371648264721
54,-112,1414371648265138,1414371648265138
54,-145,1414371648265554,1414371648265554
54,-137,1414371648265971,1414371648265971
54,-77,1414371648266388,1414371648266388
54,23,1414371648266804,1414371648266804
54,131,1414371648267221,1414371648267221
54,242,1414371648267638,1414371648267638
54,351,1414371648268055,1414371648268055
54,471,1414371648268472,1414371648268472
54,592,1414371648268888,1414371648268888
54,698,1414371648269305,1414371648269305
54,762,1414371648269722,1414371648269722
54,767,1414371648270138,1414371648270138
54,724,1414371648270555,1414371648270555
54,627,1414371648270972,1414371648270972
54,530,1414371648271389,1414371648271389
54,437,1414371648271806,1414371648271806
54,332,1414371648272222,1414371648272222
54,211,1414371648272639,1414371648272639
54,104,1414371648273056,1414371648273056
54,163,1414371648273472,1414371648273472
54,184,1414371648273889,1414371648273889
54,138,1414371648274306,1414371648274306
54,50,1414371648274723,1414371648274723
54,-61,1414371648275140,1414371648275140
54,-177,1414371648275556,1414371648275556
54,-281,1414371648275973,1414371648275973
54,-398,1414371648276390,1414371648276390
54,-523,1414371648276806,1414371648276806
54,-665,1414371648277223,1414371648277223
54,-769,1414371648277640,1414371648277640
54,-813,1414371648278057,1414371648278057
54,-806,1414371648278474,1414371648278474
54,-734,1414371648278890,1414371648278890
54,-622,1414371648279307,1414371648279307
54,-505,1414371648279724,1414371648279724
54,-385,1414371648280140,1414371648280140
54,-268,1414371648280557,1414371648280557
54,-121,1414371648280974,1414371648280974
54,-120,1414371648281391,1414371648281391
54,-144,1414371648281808,1414371648281808
54,-129,1414371648282224,1414371648282224
54,-73,1414371648282641,1414371648282641
54,28,1414371648283058,1414371648283058
54,146,1414371648283474,1414371648283474
54,256,1414371648283891,1414371648283891
54,355,1414371648284308,1414371648284308
54,474,1414371648284725,1414371648284725
54,594,1414371648285142,1414371648285142
54,697,1414371648285558,1414371648285558
54,762,1414371648285975,1414371648285975
54,768,1414371648286392,1414371648286392
