sensor_id,data,microstamp,device_microstamp
55,1.32,1414278656761764,1414278656761764
56,43.9,1414278659519602,1414278659519602
55,1.155,1414278661849472,1414278661849472
56,43.8,1414278664513032,1414278664513032
55,1.155,1414278666937583,1414278666937583
54,2,1414278668345072,1414278668345072
54,8,1414278668345489,1414278668345489
54,-3,1414278668345906,1414278668345906
54,8,1414278668346322,1414278668346322
54,1,1414278668346739,1414278668346739
54,0,1414278668347156,1414278668347156
54,-2,1414278668347572,1414278668347572
54,4,1414278668347989,1414278668347989
54,1,1414278668348406,1414278668348406
54,-6,1414278668348823,1414278668348823
54,2,1414278668349240,1414278668349240
54,1,1414278668349656,1414278668349656
54,-3,1414278668350073,1414278668350073
54,-4,1414278668350490,1414278668350490
54,4,1414278668350906,1414278668350906
54,1,1414278668351323,1414278668351323
54,-7,1414278668351740,1414278668351740
54,-2,1414278668352157,1414278668352157
54,1,1414278668352574,1414278668352574
54,4,1414278668352990,1414278668352990
54,2,1414278668353407,1414278668353407
54,-3,1414278668353824,1414278668353824
54,-9,1414278668354240,1414278668354240
54,3,1414278668354657,1414278668354657
54,-1,1414278668355074,1414278668355074
54,-2,1414278668355491,1414278668355491
54,-2,1414278668355908,1414278668355908
54,1,1414278668356324,1414278668356324
54,-6,1414278668356741,1414278668356741
54,4,1414278668357158,1414278668357158
54,1,1414278668357574,1414278668357574
54,2,1414278668357991,1414278668357991
54,5,1414278668358408,1414278668358408
54,2,1414278668358825,1414278668358825
54,-3,1414278668359242,1414278668359242
54,-3,1414278668359658,1414278668359658
54,-3,1414278668360075,1414278668360075
54,0,1414278668360492,1414278668360492
54,-2,1414278668360908,1414278668360908
54,2,1414278668361325,1414278668361325
54,-2,1414278668361742,1414278668361742
54,3,1414278668362159,1414278668362159
54,1,1414278668362576,1414278668362576
54,3,1414278668362992,1414278668362992
54,2,1414278668363409,1414278668363409
54,7,1414278668363826,1414278668363826
54,2,1414278668364242,1414278668364242
54,6,1414278668364659,1414278668364659
54,1,1414278668365076,1414278668365076
54,-3,1414278668365493,1414278668365493
54,0,1414278668365910,1414278668365910
54,-3,1414278668366326,1414278668366326
54,3,1414278668366743,1414278668366743
54,3,1414278668367160,1414278668367160
54,0,1414278668367576,1414278668367576
54,-3,1414278668367993,1414278668367993
54,5,1414278668368410,1414278668368410
54,1,1414278668368827,1414278668368827
54,8,1414278668369244,1414278668369244
54,4,1414278668369660,1414278668369660
54,2,1414278668370077,1414278668370077
54,-1,1414278668370494,1414278668370494
54,-3,1414278668370910,1414278668370910
54,-3,1414278668371327,1414278668371327
54,2,1414278668371744,1414278668371744
54,-4,1414278668372161,1414278668372161
54,-2,1414278668372578,1414278668372578
54,5,1414278668372994,1414278668372994
54,2,1414278668373411,1414278668373411
54,4,1414278668373828,1414278668373828
54,-3,1414278668374244,1414278668374244
54,3,1414278668374661,1414278668374661
54,2,1414278668375078,1414278668375078
54,-2,1414278668375495,1414278668375495
54,1,1414278668375912,1414278668375912
54,-5,1414278668376328,1414278668376328
54,3,1414278668376745,1414278668376745
54,1,1414278668377162,1414278668377162
54,1,1414278668377578,1414278668377578
54,4,1414278668377995,1414278668377995
54,5,1414278668378412,1414278668378412
54,1,1414278668378829,1414278668378829
54,-3,1414278668379246,1414278668379246
54,5,1414278668379662,1414278668379662
54,0,1414278668380079,1414278668380079
54,4,1414278668380496,1414278668380496
54,5,1414278668380912,1414278668380912
54,4,1414278668381329,1414278668381329
54,-3,1414278668381746,1414278668381746
54,-3,1414278668382163,1414278668382163
54,1,1414278668382580,1414278668382580
54,8,1414278668382996,1414278668382996
54,-6,1414278668383413,1414278668383413
54,1,1414278668383830,1414278668383830
54,-3,1414278668384246,1414278668384246
54,-3,1414278668384663,1414278668384663
54,-4,1414278668385080,1414278668385080
54,-1,1414278668385497,1414278668385497
54,-6,1414278668385914,1414278668385914
54,-2,1414278668386330,1414278668386330
54,0,1414278668386747,1414278668386747
54,0,1414278668387164,1414278668387164
54,-6,1414278668387580,1414278668387580
54,-3,1414278668387997,1414278668387997
54,3,1414278668388414,1414278668388414
54,2,1414278668388831,1414278668388831
54,2,1414278668389248,1414278668389248
54,-2,1414278668389664,1414278668389664
54,3,1414278668390081,1414278668390081
54,-2,1414278668390498,1414278668390498
54,6,1414278668390914,1414278668390914
54,-2,1414278668391331,1414278668391331
54,2,1414278668391748,1414278668391748
54,4,1414278668392165,1414278668392165
54,2,1414278668392582,1414278668392582
54,3,1414278668392998,1414278668392998
54,1,1414278668393415,1414278668393415
54,2,1414278668393832,1414278668393832
54,2,1414278668394248,1414278668394248
54,-3,1414278668394665,1414278668394665
54,6,1414278668395082,1414278668395082
54,-3,1414278668395499,1414278668395499
54,1,1414278668395916,1414278668395916
54,-2,1414278668396332,1414278668396332
54,6,1414278668396749,1414278668396749
54,6,1414278668397166,1414278668397166
54,1,1414278668397582,1414278668397582
54,1,1414278668397999,1414278668397999
54,-1,1414278668398416,1414278668398416
54,2,1414278668398833,1414278668398833
54,-2,1414278668399250,1414278668399250
54,5,1414278668399666,1414278668399666
54,1,1414278668400083,1414278668400083
54,0,1414278668400500,1414278668400500
54,-2,1414278668400916,1414278668400916
54,-3,1414278668401333,1414278668401333
54,-5,1414278668401750,1414278668401750
54,0,1414278668402167,1414278668402167
54,3,1414278668402584,1414278668402584
54,-4,1414278668403000,1414278668403000
54,-5,1414278668403417,1414278668403417
54,0,1414278668403834,1414278668403834
54,5,1414278668404250,1414278668404250
54,1,1414278668404667,1414278668404667
54,1,1414278668405084,1414278668405084
54,-2,1414278668405501,1414278668405501
54,-7,1414278668405918,1414278668405918
54,-3,1414278668406334,1414278668406334
54,1,1414278668406751,1414278668406751
54,-3,1414278668407168,1414278668407168
54,-2,1414278668407584,1414278668407584
54,-4,1414278668408001,1414278668408001
54,2,1414278668408418,1414278668408418
54,1,1414278668408835,1414278668408835
54,-3,1414278668409252,1414278668409252
54,-7,1414278668409668,1414278668409668
54,-2,1414278668410085,1414278668410085
54,-2,1414278668410502,1414278668410502
54,5,1414278668410918,1414278668410918
54,5,1414278668411335,1414278668411335
54,2,1414278668411752,1414278668411752
54,1,1414278668412169,1414278668412169
54,5,1414278668412586,1414278668412586
54,6,1414278668413002,1414278668413002
54,5,1414278668413419,1414278668413419
54,5,1414278668413836,1414278668413836
54,4,1414278668414252,1414278668414252
54,-3,1414278668414669,1414278668414669
54,1,1414278668415086,1414278668415086
54,-2,1414278668415503,1414278668415503
54,1,1414278668415920,1414278668415920
54,-2,1414278668416336,1414278668416336
54,0,1414278668416753,1414278668416753
54,8,1414278668417170,1414278668417170
54,4,1414278668417586,1414278668417586
54,2,1414278668418003,1414278668418003
54,1,1414278668418420,1414278668418420
54,5,1414278668418837,1414278668418837
54,-6,1414278668419254,1414278668419254
54,-3,1414278668419670,1414278668419670
54,-3,1414278668420087,1414278668420087
54,-2,1414278668420504,1414278668420504
54,-3,1414278668420920,1414278668420920
54,2,1414278668421337,1414278668421337
54,-1,1414278668421754,1414278668421754
54,5,1414278668422171,1414278668422171
54,0,1414278668422588,1414278668422588
54,-3,1414278668423004,1414278668423004
54,0,1414278668423421,1414278668423421
54,-3,1414278668423838,1414278668423838
54,0,1414278668424254,1414278668424254
54,2,1414278668424671,1414278668424671
54,4,1414278668425088,1414278668425088
54,58,1414278668425505,1414278668425505
54,51,1414278668425922,1414278668425922
54,40,1414278668426338,1414278668426338
54,39,1414278668426755,1414278668426755
54,35,1414278668427172,1414278668427172
54,40,1414278668427588,1414278668427588
54,37,1414278668428005,1414278668428005
54,10,1414278668633370,1414278668633370
54,3,1414278668633787,1414278668633787
54,6,1414278668634204,1414278668634204
54,1,1414278668634620,1414278668634620
54,1,1414278668635037,1414278668635037
54,0,1414278668635454,1414278668635454
54,-5,1414278668635870,1414278668635870
54,-14,1414278668636287,1414278668636287
54,-15,1414278668636704,1414278668636704
54,-24,1414278668637121,1414278668637121
54,-29,1414278668637538,1414278668637538
54,-15,1414278668637954,1414278668637954
54,-31,1414278668638371,1414278668638371
54,-32,1414278668638788,1414278668638788
54,-21,1414278668639204,1414278668639204
54,-34,1414278668639621,1414278668639621
54,-32,1414278668640038,1414278668640038
54,-30,1414278668640455,1414278668640455
54,-151,1414278668640872,1414278668640872
54,-340,1414278668641288,1414278668641288
54,-463,1414278668641705,1414278668641705
54,-503,1414278668642122,1414278668642122
54,-468,1414278668642538,1414278668642538
54,-365,1414278668642955,1414278668642955
54,-203,1414278668643372,1414278668643372
54,-70,1414278668643789,1414278668643789
54,-23,1414278668644206,1414278668644206
54,1,1414278668644622,1414278668644622
54,28,1414278668645039,1414278668645039
54,40,1414278668645456,1414278668645456
54,41,1414278668645872,1414278668645872
54,58,1414278668646289,1414278668646289
54,69,1414278668646706,1414278668646706
54,80,1414278668647123,1414278668647123
54,89,1414278668647540,1414278668647540
54,115,1414278668647956,1414278668647956
54,136,1414278668648373,1414278668648373
54,224,1414278668648790,1414278668648790
54,451,1414278668649206,1414278668649206
54,747,1414278668649623,1414278668649623
54,1048,1414278668650040,1414278668650040
54,1216,1414278668650457,1414278668650457
54,1205,1414278668650874,1414278668650874
54,1025,1414278668651290,1414278668651290
54,786,1414278668651707,1414278668651707
54,553,1414278668652124,1414278668652124
54,336,1414278668652540,1414278668652540
54,144,1414278668652957,1414278668652957
54,9,1414278668653374,1414278668653374
54,-96,1414278668653791,1414278668653791
54,-204,1414278668654208,1414278668654208
54,-311,1414278668654624,1414278668654624
54,-416,1414278668655041,1414278668655041
54,-499,1414278668655458,1414278668655458
54,-556,1414278668655874,1414278668655874
54,-586,1414278668656291,1414278668656291
54,-575,1414278668656708,1414278668656708
54,-533,1414278668657125,1414278668657125
54,-428,1414278668657542,1414278668657542
54,-296,1414278668657958,1414278668657958
54,-148,1414278668658375,1414278668658375
54,-164,1414278668658792,1414278668658792
54,-188,1414278668659208,1414278668659208
54,-198,1414278668659625,1414278668659625
54,-179,1414278668660042,1414278668660042
54,-127,1414278668660459,1414278668660459
54,-74,1414278668660876,1414278668660876
54,-32,1414278668661292,1414278668661292
54,0,1414278668661709,1414278668661709
54,25,1414278668662126,1414278668662126
54,33,1414278668662542,1414278668662542
54,50,1414278668662959,1414278668662959
54,59,1414278668663376,1414278668663376
54,64,1414278668663793,1414278668663793
54,79,1414278668664210,1414278668664210
54,91,1414278668664626,1414278668664626
54,104,1414278668665043,1414278668665043
54,125,1414278668665460,1414278668665460
54,172,1414278668665876,1414278668665876
54,314,1414278668666293,1414278668666293
54,522,1414278668666710,1414278668666710
54,704,1414278668667127,1414278668667127
54,802,1414278668667544,1414278668667544
54,791,1414278668667960,1414278668667960
54,677,1414278668668377,1414278668668377
54,505,1414278668668794,1414278668668794
54,325,1414278668669210,1414278668669210
54,149,1414278668669627,1414278668669627
54,29,1414278668670044,1414278668670044
54,-24,1414278668670461,1414278668670461
54,-46,1414278668670878,1414278668670878
54,-67,1414278668671294,1414278668671294
54,-76,1414278668671711,1414278668671711
54,-87,1414278668672128,1414278668672128
54,-95,1414278668672544,1414278668672544
54,-99,1414278668672961,1414278668672961
54,-116,1414278668673378,1414278668673378
54,-124,1414278668673795,1414278668673795
54,-130,1414278668674212,1414278668674212
54,-161,1414278668674628,1414278668674628
54,-205,1414278668675045,1414278668675045
54,-295,1414278668675462,1414278668675462
54,-389,1414278668675878,1414278668675878
54,-416,1414278668676295,1414278668676295
54,-383,1414278668676712,1414278668676712
54,-291,1414278668677129,1414278668677129
54,-179,1414278668677546,1414278668677546
54,-79,1414278668677962,1414278668677962
54,-24,1414278668678379,1414278668678379
54,9,1414278668678796,1414278668678796
54,29,1414278668679212,1414278668679212
54,40,1414278668679629,1414278668679629
54,59,1414278668680046,1414278668680046
54,65,1414278668680463,1414278668680463
54,66,1414278668680880,1414278668680880
54,80,1414278668681296,1414278668681296
54,94,1414278668681713,1414278668681713
54,104,1414278668682130,1414278668682130
54,126,1414278668682546,1414278668682546
54,176,1414278668682963,1414278668682963
54,292,1414278668683380,1414278668683380
54,442,1414278668683797,1414278668683797
54,544,1414278668684214,1414278668684214
54,567,1414278668684630,1414278668684630
54,507,1414278668685047,1414278668685047
54,383,1414278668685464,1414278668685464
54,244,1414278668685880,1414278668685880
54,102,1414278668686297,1414278668686297
54,17,1414278668686714,1414278668686714
54,-30,1414278668687131,1414278668687131
54,-55,1414278668687548,1414278668687548
54,-62,1414278668687964,1414278668687964
54,-80,1414278668688381,1414278668688381
54,-91,1414278668688798,1414278668688798
54,-101,1414278668689214,1414278668689214
54,-104,1414278668689631,1414278668689631
54,-123,1414278668690048,1414278668690048
54,-129,1414278668690465,1414278668690465
54,-131,1414278668690882,1414278668690882
54,-172,1414278668691298,1414278668691298
54,-256,1414278668691715,1414278668691715
54,-373,1414278668692132,1414278668692132
54,-465,1414278668692548,1414278668692548
54,-493,1414278668692965,1414278668692965
54,-451,1414278668693382,1414278668693382
54,-350,1414278668693799,1414278668693799
54,-214,1414278668694216,1414278668694216
54,-94,1414278668694632,1414278668694632
54,-31,1414278668695049,1414278668695049
54,3,1414278668695466,1414278668695466
54,21,1414278668695882,1414278668695882
54,35,1414278668696299,1414278668696299
54,57,1414278668696716,1414278668696716
54,64,1414278668697133,1414278668697133
54,67,1414278668697550,1414278668697550
54,85,1414278668697966,1414278668697966
54,92,1414278668698383,1414278668698383
54,106,1414278668698800,1414278668698800
54,125,1414278668699216,1414278668699216
54,165,1414278668699633,1414278668699633
54,267,1414278668700050,1414278668700050
54,401,1414278668700467,1414278668700467
54,500,1414278668700884,1414278668700884
54,514,1414278668701300,1414278668701300
54,456,1414278668701717,1414278668701717
54,340,1414278668702134,1414278668702134
54,198,1414278668702550,1414278668702550
54,77,1414278668702967,1414278668702967
54,4,1414278668703384,1414278668703384
54,-35,1414278668703801,1414278668703801
54,-53,1414278668704218,1414278668704218
54,-72,1414278668704634,1414278668704634
54,-80,1414278668705051,1414278668705051
54,-87,1414278668705468,1414278668705468
54,-95,1414278668705884,1414278668705884
54,-107,1414278668706301,1414278668706301
54,-112,1414278668706718,1414278668706718
54,-126,1414278668707135,1414278668707135
54,-150,1414278668707552,1414278668707552
54,-190,1414278668707968,1414278668707968
54,-295,1414278668708385,1414278668708385
54,-424,1414278668708802,1414278668708802
54,-512,1414278668709218,1414278668709218
54,-509,1414278668709635,1414278668709635
54,-445,1414278668710052,1414278668710052
54,-320,1414278668710469,1414278668710469
54,-183,1414278668710886,1414278668710886
54,-76,1414278668711302,1414278668711302
54,-19,1414278668711719,1414278668711719
54,13,1414278668712136,1414278668712136
54,28,1414278668712552,1414278668712552
54,43,1414278668712969,1414278668712969
54,52,1414278668713386,1414278668713386
54,67,1414278668713803,1414278668713803
54,77,1414278668714220,1414278668714220
54,81,1414278668714636,1414278668714636
54,93,1414278668715053,1414278668715053
54,107,1414278668715470,1414278668715470
54,132,1414278668715886,1414278668715886
54,187,1414278668716303,1414278668716303
54,324,1414278668874836,1414278668874836
54,449,1414278668875253,1414278668875253
54,513,1414278668875670,1414278668875670
54,495,1414278668876086,1414278668876086
54,411,1414278668876503,1414278668876503
54,279,1414278668876920,1414278668876920
54,140,1414278668877336,1414278668877336
54,39,1414278668877753,1414278668877753
54,-9,1414278668878170,1414278668878170
54,-40,1414278668878587,1414278668878587
54,-57,1414278668879004,1414278668879004
54,-61,1414278668879420,1414278668879420
54,-73,1414278668879837,1414278668879837
54,-81,1414278668880254,1414278668880254
54,-89,1414278668880670,1414278668880670
54,-105,1414278668881087,1414278668881087
54,-123,1414278668881504,1414278668881504
54,-131,1414278668881921,1414278668881921
54,-159,1414278668882338,1414278668882338
54,-220,1414278668882754,1414278668882754
54,-358,1414278668883171,1414278668883171
54,-464,1414278668883588,1414278668883588
54,-518,1414278668884004,1414278668884004
54,-491,1414278668884421,1414278668884421
54,-392,1414278668884838,1414278668884838
