sensor_id,packet_id,data,microstamp,device_microstamp
59,6,0.99,1414728282252241,1414728282252241
60,6,43.7,1414728285077713,1414728285077713
59,6,0.495,1414728287959223,1414728287959223
60,6,43.4,1414728290683854,1414728290683854
59,6,0.99,1414728293666258,1414728293666258
60,6,43.7,1414728296295662,1414728296295662
60,6,43.4,1414728301898919,1414728301898919
59,6,2.805,1414728305941646,1414728305941646
60,6,43.8,1414728307510998,1414728307510998
59,6,21.45,1414728311633021,1414728311633021
60,6,43.5,1414728313140398,1414728313140398
58,6,6,1414728314537224,1414728314537224
58,6,3,1414728314537641,1414728314537641
58,6,1,1414728314538058,1414728314538058
58,6,2,1414728314538474,1414728314538474
58,6,39,1414728314538891,1414728314538891
58,6,21,1414728314539308,1414728314539308
58,6,22,1414728314539724,1414728314539724
58,6,7,1414728314540141,1414728314540141
58,6,-5,1414728314540558,1414728314540558
58,6,1,1414728314540975,1414728314540975
58,6,1,1414728314541392,1414728314541392
58,6,3,1414728314541808,1414728314541808
58,6,3,1414728314542225,1414728314542225
58,6,-2,1414728314542642,1414728314542642
58,6,-3,1414728314543058,1414728314543058
58,6,-5,1414728314543475,1414728314543475
58,6,-9,1414728314543892,1414728314543892
58,6,-1,1414728314544309,1414728314544309
58,6,-3,1414728314544726,1414728314544726
58,6,-3,1414728314545142,1414728314545142
58,6,0,1414728314545559,1414728314545559
58,6,-2,1414728314545976,1414728314545976
58,6,-43,1414728314546392,1414728314546392
58,6,-29,1414728314546809,1414728314546809
58,6,-17,1414728314547226,1414728314547226
58,6,-3,1414728314547643,1414728314547643
58,6,-5,1414728314548060,1414728314548060
58,6,1,1414728314548476,1414728314548476
58,6,-1,1414728314548893,1414728314548893
58,6,5,1414728314549310,1414728314549310
58,6,3,1414728314549726,1414728314549726
58,6,4,1414728314550143,1414728314550143
58,6,1,1414728314550560,1414728314550560
58,6,-1,1414728314550977,1414728314550977
58,6,-1,1414728314551394,1414728314551394
58,6,4,1414728314551810,1414728314551810
58,6,-1,1414728314552227,1414728314552227
58,6,-2,1414728314552644,1414728314552644
58,6,-1,1414728314553060,1414728314553060
58,6,3,1414728314553477,1414728314553477
58,6,33,1414728314553894,1414728314553894
58,6,22,1414728314554311,1414728314554311
58,6,19,1414728314554728,1414728314554728
58,6,6,1414728314555144,1414728314555144
58,6,1,1414728314555561,1414728314555561
58,6,7,1414728314555978,1414728314555978
58,6,7,1414728314556394,1414728314556394
58,6,-4,1414728314556811,1414728314556811
58,6,-1,1414728314557228,1414728314557228
58,6,3,1414728314557645,1414728314557645
58,6,-2,1414728314558062,1414728314558062
58,6,0,1414728314558478,1414728314558478
58,6,-8,1414728314558895,1414728314558895
58,6,-1,1414728314559312,1414728314559312
58,6,3,1414728314559728,1414728314559728
58,6,-2,1414728314560145,1414728314560145
58,6,-3,1414728314560562,1414728314560562
58,6,-17,1414728314560979,1414728314560979
58,6,-36,1414728314561396,1414728314561396
58,6,-19,1414728314561812,1414728314561812
58,6,-9,1414728314562229,1414728314562229
58,6,-9,1414728314562646,1414728314562646
58,6,7,1414728314563062,1414728314563062
58,6,-2,1414728314563479,1414728314563479
58,6,-1,1414728314563896,1414728314563896
58,6,-1,1414728314564313,1414728314564313
58,6,4,1414728314564730,1414728314564730
58,6,-1,1414728314565146,1414728314565146
58,6,-1,1414728314565563,1414728314565563
58,6,6,1414728314565980,1414728314565980
58,6,-1,1414728314566396,1414728314566396
58,6,-3,1414728314566813,1414728314566813
58,6,-4,1414728314567230,1414728314567230
58,6,-5,1414728314567647,1414728314567647
58,6,-1,1414728314568064,1414728314568064
58,6,24,1414728314568480,1414728314568480
58,6,35,1414728314568897,1414728314568897
58,6,23,1414728314569314,1414728314569314
58,6,11,1414728314569730,1414728314569730
58,6,11,1414728314570147,1414728314570147
58,6,11,1414728314570564,1414728314570564
58,6,3,1414728314570981,1414728314570981
58,6,4,1414728314571398,1414728314571398
58,6,2,1414728314571814,1414728314571814
58,6,-1,1414728314572231,1414728314572231
58,6,-4,1414728314572648,1414728314572648
58,6,-3,1414728314573064,1414728314573064
58,6,3,1414728314573481,1414728314573481
58,6,-3,1414728314573898,1414728314573898
58,6,-3,1414728314574315,1414728314574315
58,6,0,1414728314574732,1414728314574732
58,6,0,1414728314575148,1414728314575148
58,6,-1,1414728314575565,1414728314575565
58,6,-36,1414728314575982,1414728314575982
58,6,-32,1414728314576398,1414728314576398
58,6,-18,1414728314576815,1414728314576815
58,6,-9,1414728314577232,1414728314577232
58,6,1,1414728314577649,1414728314577649
58,6,-3,1414728314578066,1414728314578066
58,6,-3,1414728314578482,1414728314578482
58,6,-1,1414728314578899,1414728314578899
58,6,4,1414728314579316,1414728314579316
58,6,3,1414728314579732,1414728314579732
58,6,0,1414728314580149,1414728314580149
58,6,-1,1414728314580566,1414728314580566
58,6,1,1414728314580983,1414728314580983
58,6,1,1414728314581400,1414728314581400
58,6,0,1414728314581816,1414728314581816
58,6,3,1414728314582233,1414728314582233
58,6,5,1414728314582650,1414728314582650
58,6,1,1414728314583066,1414728314583066
58,6,39,1414728314583483,1414728314583483
58,6,39,1414728314583900,1414728314583900
58,6,17,1414728314584317,1414728314584317
58,6,14,1414728314584734,1414728314584734
58,6,4,1414728314585150,1414728314585150
58,6,-3,1414728314585567,1414728314585567
58,6,-5,1414728314585984,1414728314585984
58,6,-3,1414728314586400,1414728314586400
58,6,-3,1414728314586817,1414728314586817
58,6,-1,1414728314587234,1414728314587234
58,6,-5,1414728314587651,1414728314587651
58,6,1,1414728314588068,1414728314588068
58,6,-3,1414728314588484,1414728314588484
58,6,-3,1414728314588901,1414728314588901
58,6,-2,1414728314589318,1414728314589318
58,6,5,1414728314589734,1414728314589734
58,6,1,1414728314590151,1414728314590151
58,6,-1,1414728314590568,1414728314590568
58,6,-37,1414728314590985,1414728314590985
58,6,-25,1414728314591402,1414728314591402
58,6,-15,1414728314591818,1414728314591818
58,6,-4,1414728314592235,1414728314592235
58,6,-7,1414728314592652,1414728314592652
58,6,-3,1414728314593068,1414728314593068
58,6,3,1414728314593485,1414728314593485
58,6,-4,1414728314593902,1414728314593902
58,6,1,1414728314594319,1414728314594319
58,6,1,1414728314594736,1414728314594736
58,6,1,1414728314595152,1414728314595152
58,6,1,1414728314595569,1414728314595569
58,6,0,1414728314595986,1414728314595986
58,6,4,1414728314596402,1414728314596402
58,6,4,1414728314596819,1414728314596819
58,6,4,1414728314597236,1414728314597236
58,6,5,1414728314597653,1414728314597653
58,6,5,1414728314598070,1414728314598070
58,6,38,1414728314598486,1414728314598486
58,6,17,1414728314598903,1414728314598903
58,6,20,1414728314599320,1414728314599320
58,6,11,1414728314599736,1414728314599736
58,6,11,1414728314600153,1414728314600153
58,6,3,1414728314600570,1414728314600570
58,6,3,1414728314600987,1414728314600987
58,6,3,1414728314601404,1414728314601404
58,6,3,1414728314601820,1414728314601820
58,6,-3,1414728314602237,1414728314602237
58,6,3,1414728314602654,1414728314602654
58,6,-2,1414728314603070,1414728314603070
58,6,-5,1414728314603487,1414728314603487
58,6,3,1414728314603904,1414728314603904
58,6,6,1414728314604321,1414728314604321
58,6,-2,1414728314604738,1414728314604738
58,6,3,1414728314605154,1414728314605154
58,6,-19,1414728314605571,1414728314605571
58,6,-37,1414728314605988,1414728314605988
58,6,-19,1414728314606404,1414728314606404
58,6,-11,1414728314606821,1414728314606821
58,6,-5,1414728314607238,1414728314607238
58,6,-3,1414728314607655,1414728314607655
58,6,1,1414728314608072,1414728314608072
58,6,-4,1414728314608488,1414728314608488
58,6,3,1414728314608905,1414728314608905
58,6,-1,1414728314609322,1414728314609322
58,6,1,1414728314609738,1414728314609738
58,6,4,1414728314610155,1414728314610155
58,6,-4,1414728314610572,1414728314610572
58,6,-2,1414728314610989,1414728314610989
58,6,4,1414728314611406,1414728314611406
58,6,1,1414728314611822,1414728314611822
58,6,4,1414728314612239,1414728314612239
58,6,3,1414728314612656,1414728314612656
58,6,39,1414728314613072,1414728314613072
58,6,35,1414728314613489,1414728314613489
58,6,24,1414728314613906,1414728314613906
58,6,11,1414728314614323,1414728314614323
58,6,1,1414728314614740,1414728314614740
58,6,1,1414728314615156,1414728314615156
58,6,3,1414728314615573,1414728314615573
58,6,-4,1414728314615990,1414728314615990
58,6,-5,1414728314616406,1414728314616406
58,6,-3,1414728314616823,1414728314616823
58,6,1,1414728314617240,1414728314617240
58,6,-1,1414728314617657,1414728314617657
58,6,-2,1414728314618074,1414728314618074
58,6,-8,1414728314618490,1414728314618490
58,6,1,1414728314618907,1414728314618907
58,6,0,1414728314619324,1414728314619324
58,6,4,1414728314619740,1414728314619740
58,6,3,1414728314620157,1414728314620157
58,6,5,1414728314850409,1414728314850409
58,6,5,1414728314850826,1414728314850826
58,6,0,1414728314851242,1414728314851242
58,6,4,1414728314851659,1414728314851659
58,6,-2,1414728314852076,1414728314852076
58,6,-1,1414728314852493,1414728314852493
58,6,0,1414728314852910,1414728314852910
58,6,1,1414728314853326,1414728314853326
58,6,0,1414728314853743,1414728314853743
58,6,0,1414728314854160,1414728314854160
58,6,0,1414728314854576,1414728314854576
58,6,0,1414728314854993,1414728314854993
58,6,4,1414728314855410,1414728314855410
58,6,4,1414728314855827,1414728314855827
58,6,-40,1414728314856244,1414728314856244
58,6,-24,1414728314856660,1414728314856660
58,6,-17,1414728314857077,1414728314857077
58,6,-4,1414728314857494,1414728314857494
58,6,-4,1414728314857910,1414728314857910
58,6,0,1414728314858327,1414728314858327
58,6,2,1414728314858744,1414728314858744
58,6,2,1414728314859161,1414728314859161
58,6,5,1414728314859578,1414728314859578
58,6,-6,1414728314859994,1414728314859994
58,6,4,1414728314860411,1414728314860411
58,6,0,1414728314860828,1414728314860828
58,6,5,1414728314861244,1414728314861244
58,6,0,1414728314861661,1414728314861661
58,6,2,1414728314862078,1414728314862078
58,6,1,1414728314862495,1414728314862495
58,6,0,1414728314862912,1414728314862912
58,6,7,1414728314863328,1414728314863328
58,6,42,1414728314863745,1414728314863745
58,6,32,1414728314864162,1414728314864162
58,6,19,1414728314864578,1414728314864578
58,6,14,1414728314864995,1414728314864995
58,6,4,1414728314865412,1414728314865412
58,6,4,1414728314865829,1414728314865829
58,6,8,1414728314866246,1414728314866246
58,6,2,1414728314866662,1414728314866662
58,6,-4,1414728314867079,1414728314867079
58,6,0,1414728314867496,1414728314867496
58,6,0,1414728314867912,1414728314867912
58,6,1,1414728314868329,1414728314868329
58,6,0,1414728314868746,1414728314868746
58,6,0,1414728314869163,1414728314869163
58,6,4,1414728314869580,1414728314869580
58,6,1,1414728314869996,1414728314869996
58,6,1,1414728314870413,1414728314870413
58,6,0,1414728314870830,1414728314870830
58,6,-40,1414728314871246,1414728314871246
58,6,-19,1414728314871663,1414728314871663
58,6,-16,1414728314872080,1414728314872080
58,6,-1,1414728314872497,1414728314872497
