sensor_id,packet_id,data,microstamp,device_microstamp
60,2,43.4,1414730400880729,1414730400880729
59,2,-1.155,1414730403091337,1414730403091337
58,2,0,1414730404313498,1414730404313498
58,2,2,1414730404313915,1414730404313915
58,2,2,1414730404314332,1414730404314332
58,2,2,1414730404314748,1414730404314748
58,2,3,1414730404315165,1414730404315165
58,2,6,1414730404315582,1414730404315582
58,2,2,1414730404315998,1414730404315998
58,2,2,1414730404316415,1414730404316415
58,2,2,1414730404316832,1414730404316832
58,2,-2,1414730404317249,1414730404317249
58,2,6,1414730404317666,1414730404317666
58,2,6,1414730404318082,1414730404318082
58,2,2,1414730404318499,1414730404318499
58,2,-3,1414730404318916,1414730404318916
58,2,2,1414730404319332,1414730404319332
58,2,1,1414730404319749,1414730404319749
58,2,2,1414730404320166,1414730404320166
58,2,4,1414730404320583,1414730404320583
58,2,2,1414730404321000,1414730404321000
58,2,0,1414730404321416,1414730404321416
58,2,-2,1414730404321833,1414730404321833
58,2,2,1414730404322250,1414730404322250
58,2,2,1414730404322666,1414730404322666
58,2,2,1414730404323083,1414730404323083
58,2,4,1414730404323500,1414730404323500
58,2,6,1414730404323917,1414730404323917
58,2,2,1414730404324334,1414730404324334
58,2,6,1414730404324750,1414730404324750
58,2,-2,1414730404325167,1414730404325167
58,2,-2,1414730404325584,1414730404325584
58,2,2,1414730404326000,1414730404326000
58,2,-1,1414730404326417,1414730404326417
58,2,2,1414730404326834,1414730404326834
58,2,3,1414730404327251,1414730404327251
58,2,0,1414730404327668,1414730404327668
58,2,3,1414730404328084,1414730404328084
58,2,-2,1414730404328501,1414730404328501
58,2,0,1414730404328918,1414730404328918
58,2,6,1414730404329334,1414730404329334
58,2,-2,1414730404329751,1414730404329751
58,2,0,1414730404330168,1414730404330168
58,2,-2,1414730404330585,1414730404330585
58,2,2,1414730404331002,1414730404331002
58,2,-2,1414730404331418,1414730404331418
58,2,-2,1414730404331835,1414730404331835
58,2,-2,1414730404332252,1414730404332252
58,2,2,1414730404332668,1414730404332668
58,2,1,1414730404333085,1414730404333085
58,2,1,1414730404333502,1414730404333502
58,2,2,1414730404333919,1414730404333919
58,2,1,1414730404334336,1414730404334336
58,2,0,1414730404334752,1414730404334752
58,2,2,1414730404335169,1414730404335169
58,2,1,1414730404335586,1414730404335586
58,2,2,1414730404336002,1414730404336002
58,2,-2,1414730404336419,1414730404336419
58,2,0,1414730404336836,1414730404336836
58,2,-1,1414730404337253,1414730404337253
58,2,2,1414730404337670,1414730404337670
58,2,1,1414730404338086,1414730404338086
58,2,3,1414730404338503,1414730404338503
58,2,2,1414730404338920,1414730404338920
58,2,3,1414730404339336,1414730404339336
58,2,8,1414730404339753,1414730404339753
58,2,2,1414730404340170,1414730404340170
58,2,6,1414730404340587,1414730404340587
58,2,2,1414730404341004,1414730404341004
58,2,1,1414730404341420,1414730404341420
58,2,0,1414730404341837,1414730404341837
58,2,3,1414730404342254,1414730404342254
58,2,-1,1414730404342670,1414730404342670
58,2,2,1414730404343087,1414730404343087
58,2,9,1414730404343504,1414730404343504
58,2,3,1414730404343921,1414730404343921
58,2,8,1414730404344338,1414730404344338
58,2,-1,1414730404344754,1414730404344754
58,2,-1,1414730404345171,1414730404345171
58,2,-2,1414730404345588,1414730404345588
58,2,-1,1414730404346004,1414730404346004
58,2,0,1414730404346421,1414730404346421
58,2,-1,1414730404346838,1414730404346838
58,2,3,1414730404347255,1414730404347255
58,2,3,1414730404347672,1414730404347672
58,2,-2,1414730404348088,1414730404348088
58,2,2,1414730404348505,1414730404348505
58,2,0,1414730404348922,1414730404348922
58,2,4,1414730404349338,1414730404349338
58,2,0,1414730404349755,1414730404349755
58,2,-2,1414730404350172,1414730404350172
58,2,2,1414730404350589,1414730404350589
58,2,2,1414730404351006,1414730404351006
58,2,0,1414730404351422,1414730404351422
58,2,0,1414730404351839,1414730404351839
58,2,0,1414730404352256,1414730404352256
58,2,2,1414730404352672,1414730404352672
58,2,0,1414730404353089,1414730404353089
58,2,2,1414730404353506,1414730404353506
58,2,3,1414730404353923,1414730404353923
58,2,-4,1414730404354340,1414730404354340
58,2,3,1414730404354756,1414730404354756
58,2,6,1414730404355173,1414730404355173
58,2,0,1414730404355590,1414730404355590
58,2,7,1414730404356006,1414730404356006
58,2,4,1414730404356423,1414730404356423
58,2,-2,1414730404356840,1414730404356840
58,2,-4,1414730404357257,1414730404357257
58,2,4,1414730404357674,1414730404357674
58,2,-3,1414730404358090,1414730404358090
58,2,4,1414730404358507,1414730404358507
58,2,1,1414730404358924,1414730404358924
58,2,-3,1414730404359340,1414730404359340
58,2,-2,1414730404359757,1414730404359757
58,2,2,1414730404360174,1414730404360174
58,2,-2,1414730404360591,1414730404360591
58,2,3,1414730404361008,1414730404361008
58,2,3,1414730404361424,1414730404361424
58,2,0,1414730404361841,1414730404361841
58,2,0,1414730404362258,1414730404362258
58,2,2,1414730404362674,1414730404362674
58,2,-1,1414730404363091,1414730404363091
58,2,3,1414730404363508,1414730404363508
58,2,4,1414730404363925,1414730404363925
58,2,-2,1414730404364342,1414730404364342
58,2,2,1414730404364758,1414730404364758
58,2,2,1414730404365175,1414730404365175
58,2,0,1414730404365592,1414730404365592
58,2,2,1414730404366008,1414730404366008
58,2,2,1414730404366425,1414730404366425
58,2,-1,1414730404366842,1414730404366842
58,2,4,1414730404367259,1414730404367259
58,2,-1,1414730404367676,1414730404367676
58,2,3,1414730404368092,1414730404368092
58,2,-1,1414730404368509,1414730404368509
58,2,2,1414730404368926,1414730404368926
58,2,0,1414730404369342,1414730404369342
58,2,2,1414730404369759,1414730404369759
58,2,-2,1414730404370176,1414730404370176
58,2,4,1414730404370593,1414730404370593
58,2,0,1414730404371010,1414730404371010
58,2,2,1414730404371426,1414730404371426
58,2,0,1414730404371843,1414730404371843
58,2,4,1414730404372260,1414730404372260
58,2,2,1414730404372676,1414730404372676
58,2,0,1414730404373093,1414730404373093
58,2,2,1414730404373510,1414730404373510
58,2,-2,1414730404373927,1414730404373927
58,2,-2,1414730404374344,1414730404374344
58,2,-1,1414730404374760,1414730404374760
58,2,-2,1414730404375177,1414730404375177
58,2,-2,1414730404375594,1414730404375594
58,2,0,1414730404376010,1414730404376010
58,2,0,1414730404376427,1414730404376427
58,2,2,1414730404376844,1414730404376844
58,2,-5,1414730404377261,1414730404377261
58,2,2,1414730404377678,1414730404377678
58,2,2,1414730404378094,1414730404378094
58,2,-1,1414730404378511,1414730404378511
58,2,-2,1414730404378928,1414730404378928
58,2,0,1414730404379344,1414730404379344
58,2,0,1414730404379761,1414730404379761
58,2,1,1414730404380178,1414730404380178
58,2,0,1414730404380595,1414730404380595
58,2,2,1414730404381012,1414730404381012
58,2,6,1414730404381428,1414730404381428
58,2,-5,1414730404381845,1414730404381845
58,2,-1,1414730404382262,1414730404382262
58,2,2,1414730404382678,1414730404382678
58,2,2,1414730404383095,1414730404383095
58,2,0,1414730404383512,1414730404383512
58,2,0,1414730404383929,1414730404383929
58,2,2,1414730404384346,1414730404384346
58,2,-2,1414730404384762,1414730404384762
58,2,-2,1414730404385179,1414730404385179
58,2,-1,1414730404385596,1414730404385596
58,2,2,1414730404386012,1414730404386012
58,2,-1,1414730404386429,1414730404386429
58,2,-4,1414730404386846,1414730404386846
58,2,0,1414730404387263,1414730404387263
58,2,3,1414730404387680,1414730404387680
58,2,2,1414730404388096,1414730404388096
58,2,-1,1414730404388513,1414730404388513
58,2,-2,1414730404388930,1414730404388930
58,2,-2,1414730404389346,1414730404389346
58,2,-1,1414730404389763,1414730404389763
58,2,2,1414730404390180,1414730404390180
58,2,-2,1414730404390597,1414730404390597
58,2,-5,1414730404391014,1414730404391014
58,2,2,1414730404391430,1414730404391430
58,2,-3,1414730404391847,1414730404391847
58,2,3,1414730404392264,1414730404392264
58,2,4,1414730404392680,1414730404392680
58,2,-2,1414730404393097,1414730404393097
58,2,-2,1414730404393514,1414730404393514
58,2,-2,1414730404393931,1414730404393931
58,2,-1,1414730404394348,1414730404394348
58,2,1,1414730404394764,1414730404394764
58,2,2,1414730404395181,1414730404395181
58,2,2,1414730404395598,1414730404395598
58,2,2,1414730404396014,1414730404396014
58,2,2,1414730404396431,1414730404396431
58,2,24,1414730404597377,1414730404597377
58,2,31,1414730404597794,1414730404597794
58,2,27,1414730404598210,1414730404598210
58,2,35,1414730404598627,1414730404598627
58,2,27,1414730404599044,1414730404599044
58,2,22,1414730404599461,1414730404599461
58,2,27,1414730404599878,1414730404599878
58,2,19,1414730404600294,1414730404600294
58,2,16,1414730404600711,1414730404600711
58,2,11,1414730404601128,1414730404601128
58,2,3,1414730404601544,1414730404601544
58,2,1,1414730404601961,1414730404601961
58,2,4,1414730404602378,1414730404602378
58,2,-5,1414730404602795,1414730404602795
58,2,-15,1414730404603212,1414730404603212
58,2,-12,1414730404603628,1414730404603628
58,2,-17,1414730404604045,1414730404604045
58,2,-21,1414730404604462,1414730404604462
58,2,-27,1414730404604878,1414730404604878
58,2,-29,1414730404605295,1414730404605295
58,2,-20,1414730404605712,1414730404605712
58,2,-19,1414730404606129,1414730404606129
58,2,-24,1414730404606546,1414730404606546
58,2,-24,1414730404606962,1414730404606962
58,2,-21,1414730404607379,1414730404607379
58,2,-19,1414730404607796,1414730404607796
58,2,-16,1414730404608212,1414730404608212
58,2,-4,1414730404608629,1414730404608629
58,2,3,1414730404609046,1414730404609046
58,2,7,1414730404609463,1414730404609463
58,2,15,1414730404609880,1414730404609880
58,2,15,1414730404610296,1414730404610296
58,2,16,1414730404610713,1414730404610713
58,2,19,1414730404611130,1414730404611130
58,2,19,1414730404611546,1414730404611546
58,2,27,1414730404611963,1414730404611963
58,2,28,1414730404612380,1414730404612380
58,2,25,1414730404612797,1414730404612797
58,2,27,1414730404613214,1414730404613214
58,2,24,1414730404613630,1414730404613630
58,2,24,1414730404614047,1414730404614047
58,2,27,1414730404614464,1414730404614464
58,2,27,1414730404614880,1414730404614880
58,2,17,1414730404615297,1414730404615297
58,2,16,1414730404615714,1414730404615714
58,2,7,1414730404616131,1414730404616131
58,2,3,1414730404616548,1414730404616548
58,2,-1,1414730404616964,1414730404616964
58,2,-4,1414730404617381,1414730404617381
58,2,-8,1414730404617798,1414730404617798
58,2,-13,1414730404618214,1414730404618214
58,2,-17,1414730404618631,1414730404618631
58,2,-13,1414730404619048,1414730404619048
58,2,-22,1414730404619465,1414730404619465
58,2,-24,1414730404619882,1414730404619882
58,2,-25,1414730404620298,1414730404620298
58,2,-24,1414730404620715,1414730404620715
58,2,-25,1414730404621132,1414730404621132
58,2,-25,1414730404621548,1414730404621548
58,2,-23,1414730404621965,1414730404621965
58,2,-23,1414730404622382,1414730404622382
58,2,-9,1414730404622799,1414730404622799
58,2,-6,1414730404623216,1414730404623216
58,2,-4,1414730404623632,1414730404623632
58,2,8,1414730404624049,1414730404624049
58,2,8,1414730404624466,1414730404624466
58,2,11,1414730404624882,1414730404624882
58,2,16,1414730404625299,1414730404625299
58,2,21,1414730404625716,1414730404625716
58,2,15,1414730404626133,1414730404626133
58,2,24,1414730404626550,1414730404626550
58,2,30,1414730404626966,1414730404626966
58,2,27,1414730404627383,1414730404627383
58,2,26,1414730404627800,1414730404627800
58,2,28,1414730404628216,1414730404628216
58,2,31,1414730404628633,1414730404628633
58,2,24,1414730404629050,1414730404629050
58,2,27,1414730404629467,1414730404629467
58,2,15,1414730404629884,1414730404629884
58,2,15,1414730404630300,1414730404630300
58,2,10,1414730404630717,1414730404630717
58,2,4,1414730404631134,1414730404631134
58,2,1,1414730404631550,1414730404631550
58,2,-8,1414730404631967,1414730404631967
58,2,-12,1414730404632384,1414730404632384
58,2,-16,1414730404632801,1414730404632801
58,2,-16,1414730404633218,1414730404633218
58,2,-17,1414730404633634,1414730404633634
58,2,-24,1414730404634051,1414730404634051
58,2,-25,1414730404634468,1414730404634468
58,2,-29,1414730404634884,1414730404634884
58,2,-27,1414730404635301,1414730404635301
58,2,-22,1414730404635718,1414730404635718
58,2,-21,1414730404636135,1414730404636135
58,2,-17,1414730404636552,1414730404636552
58,2,-9,1414730404636968,1414730404636968
58,2,-9,1414730404637385,1414730404637385
58,2,-11,1414730404637802,1414730404637802
58,2,7,1414730404638218,1414730404638218
58,2,11,1414730404638635,1414730404638635
58,2,11,1414730404639052,1414730404639052
58,2,15,1414730404639469,1414730404639469
58,2,19,1414730404639886,1414730404639886
58,2,21,1414730404640302,1414730404640302
58,2,23,1414730404640719,1414730404640719
58,2,17,1414730404641136,1414730404641136
58,2,27,1414730404641552,1414730404641552
58,2,27,1414730404641969,1414730404641969
58,2,27,1414730404642386,1414730404642386
58,2,27,1414730404642803,1414730404642803
58,2,22,1414730404643220,1414730404643220
58,2,21,1414730404643636,1414730404643636
58,2,19,1414730404644053,1414730404644053
58,2,15,1414730404644470,1414730404644470
58,2,15,1414730404644886,1414730404644886
58,2,3,1414730404645303,1414730404645303
58,2,-4,1414730404645720,1414730404645720
58,2,-5,1414730404646137,1414730404646137
58,2,-5,1414730404646554,1414730404646554
58,2,-9,1414730404646970,1414730404646970
58,2,-18,1414730404647387,1414730404647387
58,2,-17,1414730404647804,1414730404647804
58,2,-19,1414730404648220,1414730404648220
58,2,-17,1414730404648637,1414730404648637
58,2,-24,1414730404649054,1414730404649054
58,2,-22,1414730404649471,1414730404649471
58,2,-25,1414730404649888,1414730404649888
58,2,-20,1414730404650304,1414730404650304
58,2,-22,1414730404650721,1414730404650721
58,2,-21,1414730404651138,1414730404651138
58,2,-17,1414730404651554,1414730404651554
58,2,-12,1414730404651971,1414730404651971
58,2,-2,1414730404652388,1414730404652388
58,2,-1,1414730404652805,1414730404652805
58,2,7,1414730404653222,1414730404653222
58,2,7,1414730404653638,1414730404653638
58,2,15,1414730404654055,1414730404654055
58,2,15,1414730404654472,1414730404654472
58,2,19,1414730404654888,1414730404654888
58,2,23,1414730404655305,1414730404655305
58,2,23,1414730404655722,1414730404655722
58,2,26,1414730404656139,1414730404656139
58,2,26,1414730404656556,1414730404656556
58,2,27,1414730404656972,1414730404656972
