sensor_id,packet_id,data,microstamp,device_microstamp
55,3,10.89,1414276329639261,1414276329639261
56,3,42.1,1414276330058757,1414276330058757
55,3,11.055,1414276334632918,1414276334632918
56,3,42.2,1414276335066444,1414276335066444
55,3,1.815,1414276339653834,1414276339653834
56,3,42.2,1414276340065383,1414276340065383
55,3,1.155,1414276344642624,1414276344642624
56,3,42.1,1414276345066675,1414276345066675
54,3,1,1414276346409625,1414276346409625
54,3,0,1414276346410042,1414276346410042
54,3,5,1414276346410458,1414276346410458
54,3,1,1414276346410875,1414276346410875
54,3,2,1414276346411292,1414276346411292
54,3,9,1414276346411709,1414276346411709
54,3,-2,1414276346412126,1414276346412126
54,3,5,1414276346412542,1414276346412542
54,3,-2,1414276346412959,1414276346412959
54,3,2,1414276346413376,1414276346413376
54,3,5,1414276346413792,1414276346413792
54,3,1,1414276346414209,1414276346414209
54,3,2,1414276346414626,1414276346414626
54,3,-3,1414276346415043,1414276346415043
54,3,3,1414276346415460,1414276346415460
54,3,-2,1414276346415876,1414276346415876
54,3,1,1414276346416293,1414276346416293
54,3,1,1414276346416710,1414276346416710
54,3,1,1414276346417126,1414276346417126
54,3,7,1414276346417543,1414276346417543
54,3,4,1414276346417960,1414276346417960
54,3,5,1414276346418377,1414276346418377
54,3,7,1414276346418794,1414276346418794
54,3,2,1414276346419210,1414276346419210
54,3,5,1414276346419627,1414276346419627
54,3,0,1414276346420044,1414276346420044
54,3,4,1414276346420460,1414276346420460
54,3,5,1414276346420877,1414276346420877
54,3,5,1414276346421294,1414276346421294
54,3,-6,1414276346421711,1414276346421711
54,3,5,1414276346422128,1414276346422128
54,3,-4,1414276346422544,1414276346422544
54,3,-3,1414276346422961,1414276346422961
54,3,2,1414276346423378,1414276346423378
54,3,-6,1414276346423794,1414276346423794
54,3,-1,1414276346424211,1414276346424211
54,3,2,1414276346424628,1414276346424628
54,3,1,1414276346425045,1414276346425045
54,3,5,1414276346425462,1414276346425462
54,3,4,1414276346425878,1414276346425878
54,3,1,1414276346426295,1414276346426295
54,3,-2,1414276346426712,1414276346426712
54,3,2,1414276346427128,1414276346427128
54,3,-2,1414276346427545,1414276346427545
54,3,8,1414276346427962,1414276346427962
54,3,5,1414276346428379,1414276346428379
