sensor_id,packet_id,data,microstamp,device_microstamp
55,2,3.63,1414276069335066,1414276069335066
56,2,43.3,1414276070099168,1414276070099168
55,2,12.21,1414276074338101,1414276074338101
56,2,43.4,1414276075094912,1414276075094912
55,2,12.87,1414276079333531,1414276079333531
56,2,43.3,1414276080110667,1414276080110667
55,2,13.695,1414276084412125,1414276084412125
56,2,43.7,1414276085094882,1414276085094882
55,2,19.305,1414276089420769,1414276089420769
56,2,43.3,1414276090099484,1414276090099484
54,2,6,1414276094314256,1414276094314256
54,2,0,1414276094314673,1414276094314673
54,2,2,1414276094315090,1414276094315090
54,2,-2,1414276094315506,1414276094315506
54,2,0,1414276094315923,1414276094315923
54,2,2,1414276094316340,1414276094316340
54,2,-2,1414276094316756,1414276094316756
54,2,4,1414276094317173,1414276094317173
54,2,2,1414276094317590,1414276094317590
54,2,3,1414276094318007,1414276094318007
54,2,-4,1414276094318424,1414276094318424
54,2,-2,1414276094318840,1414276094318840
54,2,2,1414276094319257,1414276094319257
54,2,25,1414276094319674,1414276094319674
54,2,41,1414276094320090,1414276094320090
54,2,38,1414276094320507,1414276094320507
54,2,30,1414276094320924,1414276094320924
54,2,3,1414276094321341,1414276094321341
54,2,0,1414276094321758,1414276094321758
54,2,6,1414276094322174,1414276094322174
54,2,-2,1414276094322591,1414276094322591
54,2,-5,1414276094323008,1414276094323008
54,2,0,1414276094323424,1414276094323424
54,2,-5,1414276094323841,1414276094323841
54,2,0,1414276094324258,1414276094324258
54,2,3,1414276094324675,1414276094324675
54,2,-1,1414276094325092,1414276094325092
54,2,2,1414276094325508,1414276094325508
54,2,2,1414276094325925,1414276094325925
54,2,1,1414276094326342,1414276094326342
54,2,1,1414276094326758,1414276094326758
54,2,5,1414276094327175,1414276094327175
54,2,4,1414276094327592,1414276094327592
54,2,-18,1414276094328009,1414276094328009
54,2,-35,1414276094328426,1414276094328426
54,2,-40,1414276094328842,1414276094328842
54,2,-26,1414276094329259,1414276094329259
54,2,3,1414276094329676,1414276094329676
54,2,2,1414276094330092,1414276094330092
54,2,2,1414276094330509,1414276094330509
54,2,-2,1414276094330926,1414276094330926
54,2,-1,1414276094331343,1414276094331343
54,2,6,1414276094331760,1414276094331760
54,2,3,1414276094332176,1414276094332176
54,2,-2,1414276094332593,1414276094332593
54,2,1,1414276094333010,1414276094333010
54,2,2,1414276094333426,1414276094333426
54,2,0,1414276094333843,1414276094333843
54,2,2,1414276094334260,1414276094334260
54,2,-2,1414276094334677,1414276094334677
54,2,0,1414276094335094,1414276094335094
54,2,2,1414276094335510,1414276094335510
54,2,-2,1414276094335927,1414276094335927
54,2,22,1414276094336344,1414276094336344
54,2,29,1414276094336760,1414276094336760
54,2,30,1414276094337177,1414276094337177
54,2,34,1414276094337594,1414276094337594
54,2,-5,1414276094338011,1414276094338011
54,2,5,1414276094338428,1414276094338428
54,2,2,1414276094338844,1414276094338844
54,2,10,1414276094339261,1414276094339261
54,2,-7,1414276094339678,1414276094339678
54,2,-7,1414276094340094,1414276094340094
54,2,-2,1414276094340511,1414276094340511
54,2,-2,1414276094340928,1414276094340928
54,2,-2,1414276094341345,1414276094341345
54,2,6,1414276094341762,1414276094341762
54,2,2,1414276094342178,1414276094342178
54,2,0,1414276094342595,1414276094342595
54,2,1,1414276094343012,1414276094343012
54,2,3,1414276094343428,1414276094343428
54,2,3,1414276094343845,1414276094343845
54,2,3,1414276094344262,1414276094344262
54,2,-18,1414276094344679,1414276094344679
54,2,-31,1414276094345096,1414276094345096
54,2,-36,1414276094345512,1414276094345512
54,2,-21,1414276094345929,1414276094345929
54,2,6,1414276094346346,1414276094346346
54,2,1,1414276094346762,1414276094346762
54,2,-1,1414276094347179,1414276094347179
54,2,2,1414276094347596,1414276094347596
54,2,6,1414276094348013,1414276094348013
54,2,4,1414276094348430,1414276094348430
54,2,2,1414276094348846,1414276094348846
54,2,3,1414276094349263,1414276094349263
54,2,2,1414276094349680,1414276094349680
54,2,1,1414276094350096,1414276094350096
54,2,-3,1414276094350513,1414276094350513
54,2,4,1414276094350930,1414276094350930
54,2,2,1414276094351347,1414276094351347
54,2,3,1414276094351764,1414276094351764
54,2,7,1414276094352180,1414276094352180
54,2,0,1414276094352597,1414276094352597
54,2,22,1414276094353014,1414276094353014
54,2,32,1414276094353430,1414276094353430
54,2,33,1414276094353847,1414276094353847
54,2,29,1414276094354264,1414276094354264
54,2,6,1414276094354681,1414276094354681
54,2,-1,1414276094355098,1414276094355098
54,2,-1,1414276094355514,1414276094355514
54,2,3,1414276094355931,1414276094355931
54,2,5,1414276094356348,1414276094356348
54,2,-4,1414276094356764,1414276094356764
54,2,6,1414276094357181,1414276094357181
54,2,-1,1414276094357598,1414276094357598
54,2,-2,1414276094358015,1414276094358015
54,2,5,1414276094358432,1414276094358432
54,2,0,1414276094358848,1414276094358848
54,2,1,1414276094359265,1414276094359265
54,2,-2,1414276094359682,1414276094359682
54,2,4,1414276094360098,1414276094360098
54,2,-1,1414276094360515,1414276094360515
54,2,2,1414276094360932,1414276094360932
54,2,-21,1414276094361349,1414276094361349
54,2,-33,1414276094361766,1414276094361766
54,2,-30,1414276094362182,1414276094362182
54,2,-25,1414276094362599,1414276094362599
54,2,-5,1414276094363016,1414276094363016
54,2,-1,1414276094363432,1414276094363432
54,2,8,1414276094363849,1414276094363849
54,2,-5,1414276094364266,1414276094364266
54,2,-2,1414276094364683,1414276094364683
54,2,2,1414276094365100,1414276094365100
54,2,3,1414276094365516,1414276094365516
54,2,0,1414276094365933,1414276094365933
54,2,-9,1414276094366350,1414276094366350
54,2,-1,1414276094366766,1414276094366766
54,2,2,1414276094367183,1414276094367183
54,2,-1,1414276094367600,1414276094367600
54,2,3,1414276094368017,1414276094368017
54,2,2,1414276094368434,1414276094368434
54,2,-1,1414276094368850,1414276094368850
