sensor_id,data,microstamp,device_microstamp
51,0.66,1416286906297916,1416286906297916
52,34.6,1416286910130448,1416286910130448
50,3,1416286911395310,1416286911395310
50,-5,1416286911395727,1416286911395727
50,-1,1416286911396144,1416286911396144
50,-3,1416286911396560,1416286911396560
50,-2,1416286911396977,1416286911396977
50,4,1416286911397394,1416286911397394
50,1,1416286911397810,1416286911397810
50,4,1416286911398227,1416286911398227
50,-5,1416286911398644,1416286911398644
50,-1,1416286911399061,1416286911399061
50,1,1416286911399478,1416286911399478
50,-4,1416286911399894,1416286911399894
50,2,1416286911400311,1416286911400311
50,-1,1416286911400728,1416286911400728
50,-5,1416286911401144,1416286911401144
50,0,1416286911401561,1416286911401561
50,1,1416286911401978,1416286911401978
50,1,1416286911402395,1416286911402395
50,8,1416286911402812,1416286911402812
50,4,1416286911403228,1416286911403228
50,0,1416286911403645,1416286911403645
50,-4,1416286911404062,1416286911404062
50,-5,1416286911404478,1416286911404478
50,-3,1416286911404895,1416286911404895
50,-7,1416286911405312,1416286911405312
50,5,1416286911405729,1416286911405729
50,4,1416286911406146,1416286911406146
50,5,1416286911406562,1416286911406562
50,0,1416286911406979,1416286911406979
50,6,1416286911407396,1416286911407396
50,-1,1416286911407812,1416286911407812
50,7,1416286911408229,1416286911408229
50,1,1416286911408646,1416286911408646
50,7,1416286911409063,1416286911409063
50,-1,1416286911409480,1416286911409480
50,-1,1416286911409896,1416286911409896
50,5,1416286911410313,1416286911410313
50,1,1416286911410730,1416286911410730
50,-2,1416286911411146,1416286911411146
50,1,1416286911411563,1416286911411563
50,0,1416286911411980,1416286911411980
50,-1,1416286911412397,1416286911412397
50,1,1416286911412814,1416286911412814
50,-7,1416286911413230,1416286911413230
50,3,1416286911413647,1416286911413647
50,3,1416286911414064,1416286911414064
50,-3,1416286911414480,1416286911414480
50,1,1416286911414897,1416286911414897
50,-1,1416286911415314,1416286911415314
50,4,1416286911415731,1416286911415731
50,1,1416286911416148,1416286911416148
50,-2,1416286911416564,1416286911416564
50,2,1416286911416981,1416286911416981
50,-3,1416286911417398,1416286911417398
50,1,1416286911417814,1416286911417814
50,2,1416286911418231,1416286911418231
50,-1,1416286911418648,1416286911418648
50,7,1416286911419065,1416286911419065
50,1,1416286911419482,1416286911419482
50,6,1416286911419898,1416286911419898
50,-5,1416286911420315,1416286911420315
50,-4,1416286911420732,1416286911420732
50,1,1416286911421148,1416286911421148
50,-6,1416286911421565,1416286911421565
50,0,1416286911421982,1416286911421982
50,6,1416286911422399,1416286911422399
50,3,1416286911422816,1416286911422816
50,10,1416286911423232,1416286911423232
50,3,1416286911423649,1416286911423649
50,-7,1416286911424066,1416286911424066
50,1,1416286911424482,1416286911424482
50,2,1416286911424899,1416286911424899
50,0,1416286911425316,1416286911425316
50,2,1416286911425733,1416286911425733
50,-3,1416286911426150,1416286911426150
50,5,1416286911426566,1416286911426566
50,1,1416286911426983,1416286911426983
50,2,1416286911427400,1416286911427400
50,1,1416286911427816,1416286911427816
50,6,1416286911428233,1416286911428233
50,1,1416286911428650,1416286911428650
50,1,1416286911429067,1416286911429067
50,-3,1416286911429484,1416286911429484
50,1,1416286911429900,1416286911429900
50,-5,1416286911430317,1416286911430317
50,4,1416286911430734,1416286911430734
50,-1,1416286911431150,1416286911431150
50,-1,1416286911431567,1416286911431567
50,-1,1416286911431984,1416286911431984
50,-4,1416286911432401,1416286911432401
50,7,1416286911432818,1416286911432818
50,1,1416286911433234,1416286911433234
50,2,1416286911433651,1416286911433651
50,-2,1416286911434068,1416286911434068
50,-5,1416286911434484,1416286911434484
50,-4,1416286911434901,1416286911434901
50,5,1416286911435318,1416286911435318
50,-6,1416286911435735,1416286911435735
50,0,1416286911436152,1416286911436152
50,1,1416286911436568,1416286911436568
50,2,1416286911436985,1416286911436985
50,7,1416286911437402,1416286911437402
50,-1,1416286911437818,1416286911437818
50,1,1416286911438235,1416286911438235
50,-6,1416286911438652,1416286911438652
50,1,1416286911439069,1416286911439069
50,1,1416286911439486,1416286911439486
50,5,1416286911439902,1416286911439902
50,6,1416286911440319,1416286911440319
50,-2,1416286911440736,1416286911440736
50,-3,1416286911441152,1416286911441152
50,-1,1416286911441569,1416286911441569
50,6,1416286911441986,1416286911441986
50,1,1416286911442403,1416286911442403
50,5,1416286911442820,1416286911442820
50,7,1416286911443236,1416286911443236
50,4,1416286911443653,1416286911443653
50,4,1416286911444070,1416286911444070
50,7,1416286911444486,1416286911444486
50,0,1416286911444903,1416286911444903
50,-3,1416286911445320,1416286911445320
50,1,1416286911445737,1416286911445737
50,1,1416286911446154,1416286911446154
50,-1,1416286911446570,1416286911446570
50,-7,1416286911446987,1416286911446987
50,-3,1416286911447404,1416286911447404
50,-7,1416286911447820,1416286911447820
50,7,1416286911448237,1416286911448237
50,1,1416286911448654,1416286911448654
50,0,1416286911449071,1416286911449071
50,-2,1416286911449488,1416286911449488
50,-1,1416286911449904,1416286911449904
50,-7,1416286911450321,1416286911450321
50,7,1416286911450738,1416286911450738
50,4,1416286911451154,1416286911451154
50,0,1416286911451571,1416286911451571
50,-3,1416286911451988,1416286911451988
50,0,1416286911452405,1416286911452405
50,7,1416286911452822,1416286911452822
50,0,1416286911453238,1416286911453238
50,1,1416286911453655,1416286911453655
50,-7,1416286911454072,1416286911454072
50,2,1416286911454488,1416286911454488
50,-1,1416286911454905,1416286911454905
50,2,1416286911455322,1416286911455322
50,0,1416286911455739,1416286911455739
