sensor_id,data,microstamp,device_microstamp
55,1.815,1414370147281377,1414370147281377
56,44.1,1414370147771007,1414370147771007
54,4,1414370151716058,1414370151716058
54,2,1414370151716475,1414370151716475
54,1,1414370151716892,1414370151716892
54,6,1414370151717308,1414370151717308
54,2,1414370151717725,1414370151717725
54,7,1414370151718142,1414370151718142
54,0,1414370151718558,1414370151718558
54,5,1414370151718975,1414370151718975
54,1,1414370151719392,1414370151719392
54,-3,1414370151719809,1414370151719809
54,-5,1414370151720226,1414370151720226
54,-2,1414370151720642,1414370151720642
54,4,1414370151721059,1414370151721059
54,4,1414370151721476,1414370151721476
54,5,1414370151721892,1414370151721892
54,0,1414370151722309,1414370151722309
54,6,1414370151722726,1414370151722726
54,-3,1414370151723143,1414370151723143
54,1,1414370151723560,1414370151723560
54,0,1414370151723976,1414370151723976
54,-2,1414370151724393,1414370151724393
54,-1,1414370151724810,1414370151724810
54,5,1414370151725226,1414370151725226
54,6,1414370151725643,1414370151725643
54,1,1414370151726060,1414370151726060
54,6,1414370151726477,1414370151726477
54,2,1414370151726894,1414370151726894
54,1,1414370151727310,1414370151727310
54,5,1414370151727727,1414370151727727
54,4,1414370151728144,1414370151728144
54,-1,1414370151728560,1414370151728560
54,0,1414370151728977,1414370151728977
54,1,1414370151729394,1414370151729394
54,6,1414370151729811,1414370151729811
54,2,1414370151730228,1414370151730228
54,2,1414370151730644,1414370151730644
54,0,1414370151731061,1414370151731061
54,-3,1414370151731478,1414370151731478
54,1,1414370151731894,1414370151731894
54,7,1414370151732311,1414370151732311
54,5,1414370151732728,1414370151732728
54,-2,1414370151733145,1414370151733145
54,4,1414370151733562,1414370151733562
54,2,1414370151733978,1414370151733978
54,1,1414370151734395,1414370151734395
54,-3,1414370151734812,1414370151734812
54,1,1414370151735228,1414370151735228
54,3,1414370151735645,1414370151735645
54,1,1414370151736062,1414370151736062
54,4,1414370151736479,1414370151736479
54,7,1414370151736896,1414370151736896
54,6,1414370151737312,1414370151737312
54,-5,1414370151737729,1414370151737729
54,-3,1414370151738146,1414370151738146
54,2,1414370151738562,1414370151738562
54,-6,1414370151738979,1414370151738979
54,-1,1414370151739396,1414370151739396
54,2,1414370151739813,1414370151739813
54,-3,1414370151740230,1414370151740230
54,0,1414370151740646,1414370151740646
54,-2,1414370151741063,1414370151741063
54,5,1414370151741480,1414370151741480
54,2,1414370151741896,1414370151741896
54,8,1414370151742313,1414370151742313
54,1,1414370151742730,1414370151742730
54,1,1414370151743147,1414370151743147
54,4,1414370151743564,1414370151743564
54,5,1414370151743980,1414370151743980
54,1,1414370151744397,1414370151744397
54,7,1414370151744814,1414370151744814
54,3,1414370151745230,1414370151745230
54,3,1414370151745647,1414370151745647
54,1,1414370151746064,1414370151746064
54,9,1414370151746481,1414370151746481
54,2,1414370151746898,1414370151746898
54,1,1414370151747314,1414370151747314
54,0,1414370151747731,1414370151747731
54,0,1414370151748148,1414370151748148
54,4,1414370151748564,1414370151748564
54,3,1414370151748981,1414370151748981
54,2,1414370151749398,1414370151749398
54,-6,1414370151749815,1414370151749815
54,5,1414370151750232,1414370151750232
54,2,1414370151750648,1414370151750648
54,-3,1414370151751065,1414370151751065
54,5,1414370151751482,1414370151751482
54,1,1414370151751898,1414370151751898
54,-10,1414370151752315,1414370151752315
54,-5,1414370151752732,1414370151752732
54,6,1414370151753149,1414370151753149
54,1,1414370151753566,1414370151753566
54,1,1414370151753982,1414370151753982
54,0,1414370151754399,1414370151754399
54,0,1414370151754816,1414370151754816
54,-3,1414370151755232,1414370151755232
54,0,1414370151755649,1414370151755649
54,-3,1414370151756066,1414370151756066
54,1,1414370151756483,1414370151756483
54,6,1414370151756900,1414370151756900
54,5,1414370151757316,1414370151757316
54,2,1414370151757733,1414370151757733
54,0,1414370151758150,1414370151758150
54,-3,1414370151758566,1414370151758566
54,1,1414370151758983,1414370151758983
54,1,1414370151759400,1414370151759400
54,1,1414370151759817,1414370151759817
54,6,1414370151760234,1414370151760234
54,1,1414370151760650,1414370151760650
54,2,1414370151761067,1414370151761067
54,5,1414370151761484,1414370151761484
54,-1,1414370151761900,1414370151761900
54,1,1414370151762317,1414370151762317
54,4,1414370151762734,1414370151762734
54,-1,1414370151763151,1414370151763151
54,1,1414370151763568,1414370151763568
54,1,1414370151763984,1414370151763984
54,-3,1414370151764401,1414370151764401
54,2,1414370151764818,1414370151764818
54,-2,1414370151765234,1414370151765234
54,2,1414370151765651,1414370151765651
54,-1,1414370151766068,1414370151766068
54,6,1414370151766485,1414370151766485
54,0,1414370151766902,1414370151766902
54,2,1414370151767318,1414370151767318
54,1,1414370151767735,1414370151767735
54,-3,1414370151768152,1414370151768152
54,-5,1414370151768568,1414370151768568
54,2,1414370151768985,1414370151768985
54,4,1414370151769402,1414370151769402
54,6,1414370151769819,1414370151769819
54,2,1414370151770236,1414370151770236
54,-2,1414370151770652,1414370151770652
54,-5,1414370151771069,1414370151771069
