sensor_id,data,microstamp,device_microstamp
56,45.3,1414273818968664,1414273818968664
55,-0.495,1414273820032327,1414273820032327
56,45.5,1414273823969378,1414273823969378
55,0.66,1414273825042308,1414273825042308
56,45.3,1414273828976125,1414273828976125
55,0.165,1414273830071039,1414273830071039
56,45.2,1414273833979148,1414273833979148
55,19.305,1414273835048269,1414273835048269
56,45.3,1414273838985244,1414273838985244
55,19.47,1414273840109966,1414273840109966
56,45.2,1414273844017060,1414273844017060
55,19.14,1414273845054094,1414273845054094
56,45.2,1414273849032042,1414273849032042
55,18.81,1414273850051927,1414273850051927
56,45.3,1414273853993345,1414273853993345
55,19.14,1414273855089097,1414273855089097
56,45.3,1414273858999721,1414273858999721
55,18.48,1414273860061030,1414273860061030
56,45.2,1414273863997368,1414273863997368
55,19.635,1414273865069621,1414273865069621
56,45.3,1414273869010823,1414273869010823
55,18.645,1414273870094588,1414273870094588
56,45.3,1414273874013541,1414273874013541
55,19.8,1414273875121180,1414273875121180
56,45.2,1414273879018116,1414273879018116
55,18.975,1414273880081413,1414273880081413
56,45.2,1414273884044776,1414273884044776
55,18.81,1414273885087575,1414273885087575
56,45.2,1414273889024109,1414273889024109
55,18.975,1414273890089400,1414273890089400
56,45.3,1414273894027610,1414273894027610
55,-0.495,1414273895108713,1414273895108713
56,45.1,1414273899032087,1414273899032087
55,-0.495,1414273900115653,1414273900115653
56,45.3,1414273906230895,1414273906230895
56,45.3,1414273906249357,1414273906249357
56,45.3,1414273906273480,1414273906273480
56,45.3,1414273906294310,1414273906294310
55,-0.66,1414273906317606,1414273906317606
56,45.3,1414273906353244,1414273906353244
55,-0.66,1414273906376318,1414273906376318
56,45.1,1414273909052165,1414273909052165
55,-0.33,1414273910191909,1414273910191909
56,45.1,1414273914088343,1414273914088343
55,-0.66,1414273915268204,1414273915268204
56,45.4,1414273919052696,1414273919052696
55,-0.495,1414273920199608,1414273920199608
56,45.3,1414273924073737,1414273924073737
55,-0.99,1414273925200617,1414273925200617
56,45.3,1414273929057790,1414273929057790
55,-0.99,1414273930225412,1414273930225412
56,45.3,1414273934160550,1414273934160550
55,-0.495,1414273935213374,1414273935213374
56,45.1,1414273939125188,1414273939125188
55,-0.99,1414273940215712,1414273940215712
56,45.2,1414273944080147,1414273944080147
55,-0.825,1414273945221488,1414273945221488
56,45.1,1414273949082569,1414273949082569
55,-0.495,1414273950226015,1414273950226015
56,45.1,1414273954088195,1414273954088195
55,-0.825,1414273955232529,1414273955232529
56,45.3,1414273959097216,1414273959097216
55,-0.99,1414273960235654,1414273960235654
