sensor_id,data,microstamp,device_microstamp
55,1.65,1414376606818139,1414376606818139
56,31.2,1414376608157789,1414376608157789
56,31.2,1414376608651731,1414376608651731
55,1.815,1414376614096130,1414376614096130
55,1.815,1414376614121370,1414376614121370
54,3,1414376614305112,1414376614305112
54,3,1414376614305529,1414376614305529
54,0,1414376614305946,1414376614305946
54,1,1414376614306362,1414376614306362
54,-1,1414376614306779,1414376614306779
54,1,1414376614307196,1414376614307196
54,0,1414376614307612,1414376614307612
54,-5,1414376614308029,1414376614308029
54,-4,1414376614308446,1414376614308446
54,8,1414376614308863,1414376614308863
54,-1,1414376614309280,1414376614309280
54,-3,1414376614309696,1414376614309696
54,1,1414376614310113,1414376614310113
54,1,1414376614310530,1414376614310530
54,5,1414376614310946,1414376614310946
54,0,1414376614311363,1414376614311363
54,7,1414376614311780,1414376614311780
54,-3,1414376614312197,1414376614312197
54,-5,1414376614312614,1414376614312614
54,1,1414376614313030,1414376614313030
54,1,1414376614313447,1414376614313447
54,1,1414376614313864,1414376614313864
54,4,1414376614314280,1414376614314280
54,0,1414376614314697,1414376614314697
54,5,1414376614315114,1414376614315114
54,3,1414376614315531,1414376614315531
54,1,1414376614315948,1414376614315948
54,5,1414376614316364,1414376614316364
54,2,1414376614316781,1414376614316781
54,7,1414376614317198,1414376614317198
54,1,1414376614317614,1414376614317614
54,-1,1414376614318031,1414376614318031
54,0,1414376614318448,1414376614318448
54,4,1414376614318865,1414376614318865
54,1,1414376614319282,1414376614319282
54,3,1414376614319698,1414376614319698
54,7,1414376614320115,1414376614320115
54,1,1414376614320532,1414376614320532
54,0,1414376614320948,1414376614320948
54,0,1414376614321365,1414376614321365
54,3,1414376614321782,1414376614321782
54,1,1414376614322199,1414376614322199
54,-3,1414376614322616,1414376614322616
54,1,1414376614323032,1414376614323032
54,3,1414376614323449,1414376614323449
54,0,1414376614323866,1414376614323866
54,3,1414376614324282,1414376614324282
54,4,1414376614324699,1414376614324699
54,0,1414376614325116,1414376614325116
54,-3,1414376614325533,1414376614325533
54,1,1414376614325950,1414376614325950
54,1,1414376614326366,1414376614326366
54,1,1414376614326783,1414376614326783
54,0,1414376614327200,1414376614327200
54,1,1414376614327616,1414376614327616
54,5,1414376614328033,1414376614328033
54,-5,1414376614328450,1414376614328450
54,1,1414376614328867,1414376614328867
54,4,1414376614329284,1414376614329284
54,1,1414376614329700,1414376614329700
54,0,1414376614330117,1414376614330117
54,-1,1414376614330534,1414376614330534
54,5,1414376614330950,1414376614330950
54,5,1414376614331367,1414376614331367
54,4,1414376614331784,1414376614331784
54,3,1414376614332201,1414376614332201
54,5,1414376614332618,1414376614332618
54,8,1414376614333034,1414376614333034
54,5,1414376614333451,1414376614333451
54,5,1414376614333868,1414376614333868
54,1,1414376614334284,1414376614334284
54,1,1414376614334701,1414376614334701
54,1,1414376614335118,1414376614335118
54,4,1414376614335535,1414376614335535
54,5,1414376614335952,1414376614335952
54,0,1414376614336368,1414376614336368
54,5,1414376614336785,1414376614336785
54,2,1414376614337202,1414376614337202
54,-5,1414376614337618,1414376614337618
54,-8,1414376614338035,1414376614338035
54,5,1414376614338452,1414376614338452
54,-1,1414376614338869,1414376614338869
54,6,1414376614339286,1414376614339286
54,1,1414376614339702,1414376614339702
