sensor_id,data,microstamp,device_microstamp
60,43.8,1414728756846281,1414728756846281
59,0,1414728759499729,1414728759499729
58,9,1414728760420594,1414728760420594
58,5,1414728760421011,1414728760421011
58,5,1414728760421428,1414728760421428
58,0,1414728760421844,1414728760421844
58,5,1414728760422261,1414728760422261
58,-2,1414728760422678,1414728760422678
58,2,1414728760423094,1414728760423094
58,1,1414728760423511,1414728760423511
58,-3,1414728760423928,1414728760423928
58,1,1414728760424345,1414728760424345
58,3,1414728760424762,1414728760424762
58,5,1414728760425178,1414728760425178
58,5,1414728760425595,1414728760425595
58,3,1414728760426012,1414728760426012
58,1,1414728760426428,1414728760426428
58,2,1414728760426845,1414728760426845
58,6,1414728760427262,1414728760427262
58,-3,1414728760427679,1414728760427679
58,0,1414728760428096,1414728760428096
58,-8,1414728760428512,1414728760428512
58,1,1414728760428929,1414728760428929
58,3,1414728760429346,1414728760429346
58,1,1414728760429762,1414728760429762
58,5,1414728760430179,1414728760430179
58,1,1414728760430596,1414728760430596
58,2,1414728760431013,1414728760431013
58,-1,1414728760431430,1414728760431430
58,3,1414728760431846,1414728760431846
58,3,1414728760432263,1414728760432263
58,3,1414728760432680,1414728760432680
58,5,1414728760433096,1414728760433096
58,-1,1414728760433513,1414728760433513
58,3,1414728760433930,1414728760433930
58,-1,1414728760434347,1414728760434347
58,3,1414728760434764,1414728760434764
58,1,1414728760435180,1414728760435180
58,5,1414728760435597,1414728760435597
58,5,1414728760436014,1414728760436014
58,-1,1414728760436430,1414728760436430
58,-3,1414728760436847,1414728760436847
58,-4,1414728760437264,1414728760437264
58,-2,1414728760437681,1414728760437681
58,0,1414728760438098,1414728760438098
58,2,1414728760438514,1414728760438514
58,-1,1414728760438931,1414728760438931
58,6,1414728760439348,1414728760439348
58,-2,1414728760439764,1414728760439764
58,1,1414728760440181,1414728760440181
58,1,1414728760440598,1414728760440598
58,1,1414728760441015,1414728760441015
58,1,1414728760441432,1414728760441432
58,1,1414728760441848,1414728760441848
58,2,1414728760442265,1414728760442265
58,5,1414728760442682,1414728760442682
58,1,1414728760443098,1414728760443098
58,1,1414728760443515,1414728760443515
58,1,1414728760443932,1414728760443932
