sensor_id,data,microstamp,device_microstamp
56,36.7,1414377164194309,1414377164194309
56,36.7,1414377164224802,1414377164224802
56,36.7,1414377164253724,1414377164253724
56,36.7,1414377164616672,1414377164616672
56,36.6,1414377167885980,1414377167885980
55,0.99,1414377168833044,1414377168833044
54,-1,1414377171433356,1414377171433356
54,2,1414377171433773,1414377171433773
54,1,1414377171434190,1414377171434190
54,-7,1414377171434606,1414377171434606
54,-2,1414377171435023,1414377171435023
54,4,1414377171435440,1414377171435440
54,1,1414377171435856,1414377171435856
54,4,1414377171436273,1414377171436273
54,0,1414377171436690,1414377171436690
54,-5,1414377171437107,1414377171437107
54,0,1414377171437524,1414377171437524
54,-2,1414377171437940,1414377171437940
54,3,1414377171438357,1414377171438357
54,-2,1414377171438774,1414377171438774
54,-6,1414377171439190,1414377171439190
54,0,1414377171439607,1414377171439607
54,-1,1414377171440024,1414377171440024
54,0,1414377171440441,1414377171440441
54,0,1414377171440858,1414377171440858
54,-5,1414377171441274,1414377171441274
54,-5,1414377171441691,1414377171441691
54,-3,1414377171442108,1414377171442108
54,-3,1414377171442524,1414377171442524
54,6,1414377171442941,1414377171442941
54,0,1414377171443358,1414377171443358
54,3,1414377171443775,1414377171443775
54,1,1414377171444192,1414377171444192
54,5,1414377171444608,1414377171444608
54,5,1414377171445025,1414377171445025
54,8,1414377171445442,1414377171445442
54,3,1414377171445858,1414377171445858
54,4,1414377171446275,1414377171446275
54,-1,1414377171446692,1414377171446692
54,2,1414377171447109,1414377171447109
54,0,1414377171447526,1414377171447526
54,3,1414377171447942,1414377171447942
54,4,1414377171448359,1414377171448359
54,5,1414377171448776,1414377171448776
54,4,1414377171449192,1414377171449192
54,2,1414377171449609,1414377171449609
54,0,1414377171450026,1414377171450026
54,-5,1414377171450443,1414377171450443
54,-3,1414377171450860,1414377171450860
54,3,1414377171451276,1414377171451276
54,0,1414377171451693,1414377171451693
54,12,1414377171452110,1414377171452110
54,3,1414377171452526,1414377171452526
54,5,1414377171452943,1414377171452943
54,1,1414377171453360,1414377171453360
54,5,1414377171453777,1414377171453777
54,-5,1414377171454194,1414377171454194
54,-1,1414377171454610,1414377171454610
54,-7,1414377171455027,1414377171455027
54,5,1414377171455444,1414377171455444
54,0,1414377171455860,1414377171455860
54,1,1414377171456277,1414377171456277
54,3,1414377171456694,1414377171456694
54,-5,1414377171457111,1414377171457111
54,-7,1414377171457528,1414377171457528
54,7,1414377171457944,1414377171457944
54,9,1414377171458361,1414377171458361
54,-3,1414377171458778,1414377171458778
54,-3,1414377171459194,1414377171459194
54,5,1414377171459611,1414377171459611
54,1,1414377171460028,1414377171460028
54,-4,1414377171460445,1414377171460445
54,-1,1414377171460862,1414377171460862
54,-3,1414377171461278,1414377171461278
54,0,1414377171461695,1414377171461695
54,5,1414377171462112,1414377171462112
