sensor_id,data,microstamp,device_microstamp
55,0.495,1414275626236305,1414275626236305
56,44.3,1414275630150785,1414275630150785
55,0,1414275631225499,1414275631225499
56,44.2,1414275635144964,1414275635144964
54,6,1414275635842307,1414275635842307
54,4,1414275635842724,1414275635842724
54,2,1414275635843140,1414275635843140
54,1,1414275635843557,1414275635843557
54,1,1414275635843974,1414275635843974
54,2,1414275635844391,1414275635844391
54,2,1414275635844808,1414275635844808
54,-7,1414275635845224,1414275635845224
54,4,1414275635845641,1414275635845641
54,-1,1414275635846058,1414275635846058
54,-4,1414275635846474,1414275635846474
54,2,1414275635846891,1414275635846891
54,6,1414275635847308,1414275635847308
54,1,1414275635847725,1414275635847725
54,7,1414275635848142,1414275635848142
54,6,1414275635848558,1414275635848558
54,0,1414275635848975,1414275635848975
54,-4,1414275635849392,1414275635849392
54,-1,1414275635849808,1414275635849808
54,4,1414275635850225,1414275635850225
54,2,1414275635850642,1414275635850642
54,2,1414275635851059,1414275635851059
54,1,1414275635851476,1414275635851476
54,0,1414275635851892,1414275635851892
54,4,1414275635852309,1414275635852309
54,-1,1414275635852726,1414275635852726
54,-4,1414275635853142,1414275635853142
54,4,1414275635853559,1414275635853559
54,0,1414275635853976,1414275635853976
54,3,1414275635854393,1414275635854393
54,6,1414275635854810,1414275635854810
54,5,1414275635855226,1414275635855226
54,-3,1414275635855643,1414275635855643
54,-4,1414275635856060,1414275635856060
54,-7,1414275635856476,1414275635856476
54,1,1414275635856893,1414275635856893
54,-4,1414275635857310,1414275635857310
54,1,1414275635857727,1414275635857727
54,0,1414275635858144,1414275635858144
54,0,1414275635858560,1414275635858560
54,2,1414275635858977,1414275635858977
54,1,1414275635859394,1414275635859394
54,-1,1414275635859810,1414275635859810
54,2,1414275635860227,1414275635860227
54,4,1414275635860644,1414275635860644
54,3,1414275635861061,1414275635861061
54,7,1414275635861478,1414275635861478
54,4,1414275635861894,1414275635861894
54,-2,1414275635862311,1414275635862311
54,-1,1414275635862728,1414275635862728
54,-3,1414275635863144,1414275635863144
54,0,1414275635863561,1414275635863561
54,1,1414275635863978,1414275635863978
54,0,1414275635864395,1414275635864395
54,4,1414275635864812,1414275635864812
54,8,1414275635865228,1414275635865228
54,3,1414275635865645,1414275635865645
54,0,1414275635866062,1414275635866062
54,4,1414275635866478,1414275635866478
54,-2,1414275635866895,1414275635866895
54,4,1414275635867312,1414275635867312
54,8,1414275635867729,1414275635867729
54,7,1414275635868146,1414275635868146
54,1,1414275635868562,1414275635868562
54,2,1414275635868979,1414275635868979
54,4,1414275635869396,1414275635869396
54,3,1414275635869812,1414275635869812
54,0,1414275635870229,1414275635870229
54,3,1414275635870646,1414275635870646
54,0,1414275635871063,1414275635871063
54,0,1414275635871480,1414275635871480
54,1,1414275635871896,1414275635871896
54,2,1414275635872313,1414275635872313
54,5,1414275635872730,1414275635872730
54,1,1414275635873146,1414275635873146
54,1,1414275635873563,1414275635873563
54,-3,1414275635873980,1414275635873980
